altitude,aptarea,aptdia,bitpix,bscale,bzero,ccd-temp,date-obs,exposure,exptime,file,filter,flipstat,focallen,history,imagetyp,instrume,jd-obs,latitude,longitud,lst,mjd-obs,naxis,naxis1,naxis2,notes,objctdec,objctra,oscan,oscanax,oscanst,purged,readoutm,set-temp,simple,sitelat,sitelong,swcreate,swowner,telescop,xbinning,xorgsubf,xpixsz,ybinning,yorgsubf,ypixsz,a_0_2,a_1_1,a_2_0,a_order,airmass,alt-obj,ap_0_1,ap_0_2,ap_1_0,ap_1_1,ap_2_0,ap_order,az-obj,b_0_2,b_1_1,b_2_0,b_order,bp_0_1,bp_0_2,bp_1_0,bp_1_1,bp_2_0,bp_order,cd1_1,cd1_2,cd2_1,cd2_2,comment,crpix1,crpix2,crval1,crval2,ctype1,ctype2,cunit1,cunit2,date,dec,equinox,ha,imageh,imagew,latpole,lonpole,ra,secz,wcsaxes
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.8280675,2013-07-04T08:10:39,15.0,15.0,darks-001D15.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:37:43.662845 -----,DARK,Apogee USB/Net,2456477.84073,+46:52:00.41,-96:27:11.80,20:34:51.48,56477.3407292,2,3085,2048,,+46 49 07,20 34 41,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.89407575,2013-07-04T08:09:55,30.0,30.0,darks-001D30.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:37:44.644766 -----,DARK,Apogee USB/Net,2456477.84022,+46:52:00.41,-96:27:11.80,20:34:07.36,56477.3402199,2,3085,2048,,+46 49 07,20 34 11,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.73062675,2013-07-04T08:15:59,15.0,15.0,darks-002D15.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:37:48.810236 -----,DARK,Apogee USB/Net,2456477.84443,+46:52:00.41,-96:27:11.80,20:40:12.36,56477.3444329,2,3085,2048,,+46 49 00,20 40 01,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.72434025,2013-07-04T08:15:15,30.0,30.0,darks-002D30.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:37:49.821634 -----,DARK,Apogee USB/Net,2456477.84392,+46:52:00.41,-96:27:11.80,20:39:28.24,56477.3439236,2,3085,2048,,+46 48 59,20 39 32,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.75577275,2013-07-04T08:21:25,15.0,15.0,darks-003D15.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:37:53.375439 -----,DARK,Apogee USB/Net,2456477.84821,+46:52:00.41,-96:27:11.80,20:45:39.25,56477.348206,2,3085,2048,,+46 48 55,20 45 27,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.83749725,2013-07-04T08:20:40,30.0,30.0,darks-003D30.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:37:54.210362 -----,DARK,Apogee USB/Net,2456477.84769,+46:52:00.41,-96:27:11.80,20:44:54.13,56477.3476852,2,3085,2048,,+46 48 55,20 44 57,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.696051,2013-07-04T08:26:45,15.0,15.0,darks-004D15.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:37:58.417062 -----,DARK,Apogee USB/Net,2456477.85191,+46:52:00.41,-96:27:11.80,20:51:00.13,56477.3519097,2,3085,2048,,+46 48 47,20 50 47,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.7023375,2013-07-04T08:26:01,30.0,30.0,darks-004D30.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:37:59.931298 -----,DARK,Apogee USB/Net,2456477.8514,+46:52:00.41,-96:27:11.80,20:50:16.01,56477.3514005,2,3085,2048,,+46 48 48,20 50 19,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.683478,2013-07-04T08:31:44,15.0,15.0,darks-005D15.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:38:03.561743 -----,DARK,Apogee USB/Net,2456477.85537,+46:52:00.41,-96:27:11.80,20:55:59.95,56477.3553704,2,3085,2048,,+46 48 40,20 55 47,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.6771915,2013-07-04T08:31:00,30.0,30.0,darks-005D30.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:38:04.965593 -----,DARK,Apogee USB/Net,2456477.85486,+46:52:00.41,-96:27:11.80,20:55:15.83,56477.3548611,2,3085,2048,,+46 48 40,20 55 18,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
